Serial#,City,Province,Abbrivation,,
1,Bagh,Azad Kashmir,AJK,,
2,Bhimber,Azad Kashmir,AJK,,
3,khuiratta,Azad Kashmir,AJK,,
4,Kotli,Azad Kashmir,AJK,,
5,Mangla,Azad Kashmir,AJK,,
6,Mirpur,Azad Kashmir,AJK,,
7,Muzaffarabad,Azad Kashmir,AJK,, 
8,Plandri,Azad Kashmir,AJK,,
9,Rawalakot,Azad Kashmir,AJK,,
10,Punch,Azad Kashmir,AJK,,
,,,,,
11,Amir Chah,Balochistan,Balochistan,, 
12,Bazdar,Balochistan,Balochistan,,
13,Bela,Balochistan,Balochistan,, 
14,Bellpat,Balochistan,Balochistan,,
15,Bagh,Balochistan,Balochistan,,
16,Burj,Balochistan,Balochistan,,
17,Chagai,Balochistan,Balochistan,,
18,Chah Sandan,Balochistan,Balochistan,,
19,Chakku,Balochistan,Balochistan,,
20,Chaman,Balochistan,Balochistan,,
21,Chhatr,Balochistan,Balochistan,,
22,Dalbandin,Balochistan,Balochistan,,
23,Dera Bugti,Balochistan,Balochistan,,
24,Dhana Sar,Balochistan,Balochistan,,
25,Diwana,Balochistan,Balochistan,,
26,Duki,Balochistan,Balochistan,,
27,Dushi,Balochistan,Balochistan,,
28,Duzab,Balochistan,Balochistan,,
29,Gajar,Balochistan,Balochistan,,
30,Gandava,Balochistan,Balochistan,,
31,Garhi Khairo,Balochistan,Balochistan,,
32,Garruck,Balochistan,Balochistan,,
33,Ghazluna,Balochistan,Balochistan,,
34,Girdan,Balochistan,Balochistan,,
35,Gulistan,Balochistan,Balochistan,,
36,Gwadar,Balochistan,Balochistan,,
37,Gwash,Balochistan,Balochistan,,
38,Hab Chauki,Balochistan,Balochistan,,
39,Hameedabad,Balochistan,Balochistan,,
40,Harnai,Balochistan,Balochistan,,
41,Hinglaj,Balochistan,Balochistan,,
42,Hoshab,Balochistan,Balochistan,,
43,Ispikan,Balochistan,Balochistan,,
44,Jhal,Balochistan,Balochistan,,
45,Jhal Jhao,Balochistan,Balochistan,,
46,Jhatpat,Balochistan,Balochistan,,
47,Jiwani,Balochistan,Balochistan,,
48,Kalandi,Balochistan,Balochistan,,
49,Kalat,Balochistan,Balochistan,,
50,Kamararod,Balochistan,Balochistan,,
51,Kanak,Balochistan,Balochistan,,
52,Kandi,Balochistan,Balochistan,,
53,Kanpur,Balochistan,Balochistan,,
54,Kapip,Balochistan,Balochistan,,
55,Kappar,Balochistan,Balochistan,,
56,Karodi,Balochistan,Balochistan,,
57,Katuri,Balochistan,Balochistan,,
58,Kharan,Balochistan,Balochistan,,
59,Khuzdar,Balochistan,Balochistan,,
60,Kikki,Balochistan,Balochistan,,
61,Kohan,Balochistan,Balochistan,,
62,Kohlu,Balochistan,Balochistan,,
63,Korak,Balochistan,Balochistan,,
64,Lahri,Balochistan,Balochistan,,
65,Lasbela,Balochistan,Balochistan,,
66,Liari,Balochistan,Balochistan,,
67,Loralai,Balochistan,Balochistan,,
68,Mach,Balochistan,Balochistan,,
69,Mand,Balochistan,Balochistan,,
70,Manguchar,Balochistan,Balochistan,,
71,Mashki Chah,Balochistan,Balochistan,,
72,Maslti,Balochistan,Balochistan,,
73,Mastung,Balochistan,Balochistan,,
74,Mekhtar,Balochistan,Balochistan,,
75,Merui,Balochistan,Balochistan,,
76,Mianez,Balochistan,Balochistan,,
77,Murgha Kibzai,Balochistan,Balochistan,,
78,Musa Khel Bazar,Balochistan,Balochistan,,
79,Nagha Kalat,Balochistan,Balochistan,,
80,Nal,Balochistan,Balochistan,,
81,Naseerabad,Balochistan,Balochistan,,
82,Nauroz Kalat,Balochistan,Balochistan,,
83,Nur Gamma,Balochistan,Balochistan,,
84,Nushki,Balochistan,Balochistan,,
85,Nuttal,Balochistan,Balochistan,,
86,Ormara,Balochistan,Balochistan,,
87,Palantuk,Balochistan,Balochistan,,
88,Panjgur,Balochistan,Balochistan,,
89,Pasni,Balochistan,Balochistan,,
90,Piharak,Balochistan,Balochistan,,
91,Pishin,Balochistan,Balochistan,,
92,Qamruddin Karez,Balochistan,Balochistan,,
93,Qila Abdullah,Balochistan,Balochistan,,
94,Qila Ladgasht,Balochistan,Balochistan,,
95,Qila Safed,Balochistan,Balochistan,,
96,Qila Saifullah,Balochistan,Balochistan,,
97,Quetta,Balochistan,Balochistan,,
98,Rakhni,Balochistan,Balochistan,,
99,Robat Thana,Balochistan,Balochistan,,
100,Rodkhan,Balochistan,Balochistan,,
101,Saindak,Balochistan,Balochistan,,
102,Sanjawi,Balochistan,Balochistan,,
103,Saruna,Balochistan,Balochistan,,
104,Shabaz Kalat,Balochistan,Balochistan,,
105,Shahpur,Balochistan,Balochistan,,
106,Sharam Jogizai,Balochistan,Balochistan,,
107,Shingar,Balochistan,Balochistan,,
108,Shorap,Balochistan,Balochistan,,
109,Sibi,Balochistan,Balochistan,,
110,Sonmiani,Balochistan,Balochistan,,
111,Spezand,Balochistan,Balochistan,,
112,Spintangi,Balochistan,Balochistan,,
113,Sui,Balochistan,Balochistan,,
114,Suntsar,Balochistan,Balochistan,,
115,Surab,Balochistan,Balochistan,,
116,Thalo,Balochistan,Balochistan,,
117,Tump,Balochistan,Balochistan,,
118,Turbat,Balochistan,Balochistan,,
119,Umarao,Balochistan,Balochistan,,
120,pirMahal,Balochistan,Balochistan,,
121,Uthal,Balochistan,Balochistan,,
122,Vitakri,Balochistan,Balochistan,,
123,Wadh,Balochistan,Balochistan,,
124,Washap,Balochistan,Balochistan,,
125,Wasjuk,Balochistan,Balochistan,,
126,Yakmach,Balochistan,Balochistan,,
127,Zhob,Balochistan,Balochistan,,
,,,,,
128,Astor,Gilgit Baltistan,GB,,
129,Baramula,Gilgit Baltistan,GB,,
130,Hunza,Gilgit Baltistan,GB,,
131,Gilgit,Gilgit Baltistan,GB,,
132,Nagar,Gilgit Baltistan,GB,,
133,Skardu,Gilgit Baltistan,GB,,
134,Shangrila,Gilgit Baltistan,GB,,
135,Shandur,Gilgit Baltistan,GB,,
,,,,,
136,Bajaur,Federally Administered Tribal Areas,FATA,,
137,Hangu,Federally Administered Tribal Areas,FATA,,
138,Malakand,Federally Administered Tribal Areas,FATA,,
139,Miram Shah,Federally Administered Tribal Areas,FATA,,
140,Mohmand,Federally Administered Tribal Areas,FATA,, 
141,Khyber,Federally Administered Tribal Areas,FATA,,
