name,province_id
Bagh,Azad Kashmir
Bhimber,Azad Kashmir
khuiratta,Azad Kashmir
Kotli,Azad Kashmir
Mangla,Azad Kashmir
Mirpur,Azad Kashmir
Muzaffarabad,Azad Kashmir
Plandri,Azad Kashmir
Rawalakot,Azad Kashmir
Punch,Azad Kashmir
Amir Chah,Balochistan
Bazdar,Balochistan
Bela,Balochistan
Bellpat,Balochistan
Bagh,Balochistan
Burj,Balochistan
Chagai,Balochistan
Chah Sandan,Balochistan
Chakku,Balochistan
Chaman,Balochistan
Chhatr,Balochistan
Dalbandin,Balochistan
Dera Bugti,Balochistan
Dhana Sar,Balochistan
Diwana,Balochistan
Duki,Balochistan
Dushi,Balochistan
Duzab,Balochistan
Gajar,Balochistan
Gandava,Balochistan
Garhi Khairo,Balochistan
Garruck,Balochistan
Ghazluna,Balochistan
Girdan,Balochistan
Gulistan,Balochistan
Gwadar,Balochistan
Gwash,Balochistan
Hab Chauki,Balochistan
Hameedabad,Balochistan
Harnai,Balochistan
Hinglaj,Balochistan
Hoshab,Balochistan
Ispikan,Balochistan
Jhal,Balochistan
Jhal Jhao,Balochistan
Jhatpat,Balochistan
Jiwani,Balochistan
Kalandi,Balochistan
Kalat,Balochistan
Kamararod,Balochistan
Kanak,Balochistan
Kandi,Balochistan
Kanpur,Balochistan
Kapip,Balochistan
Kappar,Balochistan
Karodi,Balochistan
Katuri,Balochistan
Kharan,Balochistan
Khuzdar,Balochistan
Kikki,Balochistan
Kohan,Balochistan
Kohlu,Balochistan
Korak,Balochistan
Lahri,Balochistan
Lasbela,Balochistan
Liari,Balochistan
Loralai,Balochistan
Mach,Balochistan
Mand,Balochistan
Manguchar,Balochistan
Mashki Chah,Balochistan
Maslti,Balochistan
Mastung,Balochistan
Mekhtar,Balochistan
Merui,Balochistan
Mianez,Balochistan
Murgha Kibzai,Balochistan
Musa Khel Bazar,Balochistan
Nagha Kalat,Balochistan
Nal,Balochistan
Naseerabad,Balochistan
Nauroz Kalat,Balochistan
Nur Gamma,Balochistan
Nushki,Balochistan
Nuttal,Balochistan
Ormara,Balochistan
Palantuk,Balochistan
Panjgur,Balochistan
Pasni,Balochistan
Piharak,Balochistan
Pishin,Balochistan
Qamruddin Karez,Balochistan
Qila Abdullah,Balochistan
Qila Ladgasht,Balochistan
Qila Safed,Balochistan
Qila Saifullah,Balochistan
Quetta,Balochistan
Rakhni,Balochistan
Robat Thana,Balochistan
Rodkhan,Balochistan
Saindak,Balochistan
Sanjawi,Balochistan
Saruna,Balochistan
Shabaz Kalat,Balochistan
Shahpur,Balochistan
Sharam Jogizai,Balochistan
Shingar,Balochistan
Shorap,Balochistan
Sibi,Balochistan
Sonmiani,Balochistan
Spezand,Balochistan
Spintangi,Balochistan
Sui,Balochistan
Suntsar,Balochistan
Surab,Balochistan
Thalo,Balochistan
Tump,Balochistan
Turbat,Balochistan
Umarao,Balochistan
pirMahal,Balochistan
Uthal,Balochistan
Vitakri,Balochistan
Wadh,Balochistan
Washap,Balochistan
Wasjuk,Balochistan
