"PK-1","ABDUL AZIZ KHAN","Independent","198"
"PK-1","ABDUR RAHIM KHAN","Independent","6"
"PK-1","AJMAL KHAN","Tehreek-e-Tahafuze Pakistan","227"
"PK-1","AKHUNZADA IRFAN ULLAH SHAH","Jamiat Ulama-e-Islam (F)","4819"
"PK-1","ASHFAQ AHMAD","MUTAHIDA DEENI MAHAZ","334"
"PK-1","BAHRULLAH KHAN","Jamaat-e-Islami Pakistan","5156"
"PK-1","GHAZANFAR BILOUR","Awami National Party","4782"
"PK-1","GUL JAN","Independent","16"
"PK-1","HASSAN KHAN","Independent","12"
"PK-1","IRFAN ULLAH","Independent","72"
"PK-1","MALIK PARVEZ KHAN","Independent","55"
"PK-1","MIR ALAM KHAN","All Pakistan Muslim League","26"
"PK-1","MOSAB MUKHTAR","Independent","29"
"PK-1","MUHAMMAD ADEEL","Pakistan Muslim League (N)","1571"
"PK-1","MUHAMMAD AKBAR KHAN","Pakistan Peoples Party Parliamentarians","4376"
"PK-1","MUHAMMAD NADEEM","Independent","234"
"PK-1","MUHAMMAD NADEEM","Pakistan Muslim League (J)","6907"
"PK-1","MUHAMMAD NADEEM","Tehreek-e-Pasmanada Awam Pakistan","178"
"PK-1","MUHAMMAD SHAH ZEB","Independent","252"
"PK-1","MUHAMMAD YOUNAS","Independent","14"
"PK-1","MUHAMMAD ZAKIR SHAH","Independent","1063"
"PK-1","SAIF ULLAH","Pakistan Muslim League","249"
"PK-1","YASAR FARID","Jamiat Ulama-e-Pakistan (Noorani)","20"
"PK-1","YOUNAS KHAN","Independent","63"
"PK-1","ZAFAR ULLAH","Independent","28"
"PK-1","ZAHOOR KHAN","MustaqbIl Pakistan","21"
"PK-1","ZIA ULLAH AFRIDI","Pakistan Tehreek-e-Insaf","22932"
"PK-2","Amir Shehzad Hashmi","MustaqbIl Pakistan","83"
"PK-2","Amjad Akbar","Independent","11"
"PK-2","Arshad Hussain","Awami Muslim League Pakistan","59"
"PK-2","Awais Ahmad Qadri Advocate","Jamiat Ulama-e-Pakistan (Noorani)","649"
"PK-2","Hamayun Khan","All Pakistan Muslim League","16"
"PK-2","Hidayat Ullah Khan Afridi Advocat","Independent","56"
"PK-2","Islam Ud Din Muhmand","Independent","15"
"PK-2","Khalid Tanveer Rohaila Advocate","Pakistan Muslim League (J)","11"
"PK-2","Malik Ghulam Mustafa","Awami National Party","6273"
"PK-2","Malik Sher Bahadur Khan","Tehreek-e-Pasmanada Awam Pakistan","595"
"PK-2","Maulana Khair rul Bashar","Jamiat Ulama-e-Islam (F)","4241"
"PK-2","Mian Syed Badshah","Pakistan Muslim League (N)","3165"
"PK-2","Muhammad Anwar Safi","Independent","331"
"PK-2","Nadeem Ahmad Awan","Independent","30"
"PK-2","Pir Abdur Rehman","Independent","85"
"PK-2","Saeed ur Rehman Safi","MUTAHIDA DEENI MAHAZ","2782"
"PK-2","Sardar Naeem","Tehreek-e-Tahafuze Pakistan","305"
"PK-2","Shafqat Hussain Durrani","Independent","125"
"PK-2","Shahid Noor","Pakistan Muslim League","74"
"PK-2","Shamsur Rehman Safi","Independent","86"
"PK-2","Shuakat Ali Yousaf Zai","Pakistan Tehreek-e-Insaf","27456"
"PK-2","Siraj Ud Din","Jamaat-e-Islami Pakistan","2453"
"PK-2","Syed Zahir Ali Shah","Pakistan Peoples Party Parliamentarians","11496"
"PK-3","Abdul Wadood Mohmnd","Independent","32"
"PK-3","Ahsanullah","Tehreek-e-Tahafuze Pakistan","184"
"PK-3","Ajmal Khan Qureshi","Independent","31"
"PK-3","Al Hajj Abdul Jalil Jan","Jamiat Ulama-e-Islam (F)","1965"
"PK-3","Ameer Nawaz Khan","Independent","23"
"PK-3","Ashraf Ali Khan","Independent","244"
"PK-3","Aurangzeb Advocate","Independent","35"
"PK-3","Aurangzeb Mohmnd","All Pakistan Muslim League","9"
"PK-3","Dr Aminullah","Independent","24"
"PK-3","Faiz ur Rehman","Independent","24"
"PK-3","Haji Muhammad Iqbal Mohmnd","Pakistan Peoples Party Parliamentarians","2770"
"PK-3","Haji Sami Ullah Turabi","Independent","58"
"PK-3","Haroon Bashir Bilour","Awami National Party","15293"
"PK-3","Jackson Sardar","Independent","154"
"PK-3","Jahanzeb Khan","Independent","29"
"PK-3","Javed Nasim","Pakistan Tehreek-e-Insaf","18088"
"PK-3","Khadim Ali Khan Yousafzai","Pakistan Muslim League (N)","1408"
"PK-3","Khalid Gul Mohmnd","Jamaat-e-Islami Pakistan","4750"
"PK-3","Molana Ahsanullah Khan","Jamiat Ulama-e-Pakistan (Noorani)","312"
"PK-3","Molana Muhammad Ismail Darwesh","MUTAHIDA DEENI MAHAZ","3831"
"PK-3","Muhammad Irfan","Independent","16"
"PK-3","Muhammad Tariq","Independent","11"
"PK-3","Noor Shehzad","Pakistan Peoples Party (Shaheed Bhutto)","73"
"PK-3","Safeer Ullah Khan Khalil","MustaqbIl Pakistan","8"
"PK-3","Tahir Nawaz","Independent","139"
"PK-3","Yasmin Sherazi","Independent","397"
"PK-4","Ahmad Khan","Independent","64"
"PK-4","Ansarullah Khan","Independent","4"
"PK-4","Arbab Muhammad Farooq Jan","Jamiat Ulama-e-Islam (F)","2624"
"PK-4","Arif Yousuf","Pakistan Tehreek-e-Insaf","20803"
"PK-4","Fawad Ali Khan","Independent","155"
"PK-4","Ibrahim Khan Qasmi","MUTAHIDA DEENI MAHAZ","10567"
"PK-4","Khalida Nasreen","Independent","8"
"PK-4","Kifayatullah Khan","Pakistan Peoples Party Parliamentarians","3115"
"PK-4","Muhammad Arshad Qureshi","Pakistan Muslim League (N)","3345"
"PK-4","Muhammad Ayub Khan","Muttahida Qaumi Movement Pakistan","77"
"PK-4","Muhammad Azam Khan","Independent","604"
"PK-4","Muhammad Imran Shehzad","Independent","42"
"PK-4","Riaz Ahmad Bacha","Jamaat-e-Islami Pakistan","1055"
"PK-4","Sahibzada Asad Noor","Independent","53"
"PK-4","Sohail Iqbal","Independent","16"
"PK-4","Syed Aqil Shah","Awami National Party","5873"
"PK-4","Tahir Shahzad","Qaumi Watan Party (Sherpao)","102"
"PK-4","Wajidullah Khan","Independent","30"
"PK-5","Abdul Waheed Niazi","Independent","16"
"PK-5","Al Haaj Noor Wali Khalil","MUTTHIDA MAJLIS-E-AMAL PAKISTAN","1882"
"PK-5","Ali Haider","Independent","137"
"PK-5","Arbab Muhammad Tahir Khan Khalil","Awami National Party","1623"
"PK-5","Arbab Mujeeb ur Rehman","Pashtoonkhwa Milli Awami Party","271"
"PK-5","Arbab Sardar Hussain Khan","Independent","196"
"PK-5","Arbab Sher Ali Khan Khalil","Independent","50"
"PK-5","Ateef ur Rehman","Independent","3134"
"PK-5","Dr Arbab Alamgir Khan","Pakistan Peoples Party Parliamentarians","2555"
"PK-5","Faiz Ur Rehman Khan","Independent","25"
"PK-5","Farhad Ali","Pakistan Muslim League (N)","3230"
"PK-5","Ikram Ullah Khan","Tehreek-e-Tahafuze Pakistan","1449"
"PK-5","Imdad Khan Khalil","Independent","8"
"PK-5","Intizar Ali Khan","Independent","23"
"PK-5","Irfan Ullah Khan","Independent","125"
"PK-5","Jahangir Khan","Independent","55"
"PK-5","Maulana Amanullah Haqqani","Jamiat Ulama-e-Islam (F)","6957"
"PK-5","Mian Anwar Said Bacha","Jamaat-e-Islami Pakistan","2862"
"PK-5","Muhammad Ali Arbab","Independent","76"
"PK-5","Muhammad Ibrar","Tehreek-e-Pasmanada Awam Pakistan","4148"
"PK-5","Muhammad Saif","Islami Inqalab Party","36"
"PK-5","Rauf Khuram","Independent","12"
"PK-5","Robina Shaheen","Pakistan Muslim League","19"
"PK-5","Syed Nazaneen Shah","Independent","60"
"PK-5","Yaseen Khan Khalil","Pakistan Tehreek-e-Insaf","31639"
