name,leader,designation_id,address
aalay kalam ullah farman rasool (saw),mirza zulfiqar ahmed,president,"b-20, first floor, taj mahal plaza, 6th road chowk, murree road, rawalpindi. ph: no.0334- 6522425"
aam admi justice party,mian ghulam rasool,chairman,"advocate high court, chamber no.3, shajjar block, district courts, f-8 markaz, islamabad. ph: 051-2568918, cell: 0335-4777886"
aap janab sarkar party,"nawab dr.amber shahzada,",markazi chairman,"nawab mention fisrt floor, habib park, chungi multan road, lahore.mob no.03009419749"
afghan national party,khair-ul-hakin,president,"duresh khela, district swat."
afghan qumi movement (pakistan),mr. ahmed khan,president,"village dilsora karez, post office tehsil and district: killa abdullah"
all pakistan bayrozgar party,rana muhammad ali,president,"mandi kanganpur, tehsil chonia , district kasoor, cell no.0300-5193829"
all pakistan chiristian league,prof. salamat akhtar,president,"g-290, gordon college road, rawalpindi.mobile no.0307-4300594, 0345-5061939"
all pakistan minorities alliance.,dr. paul jacob bhatti,president/chairp erson,"house no.i-b, stree no.95, sector i-8/4, islamabad cell 0342-5103076"
all pakistan muslim league,muhammad ali saif,chief organizer,"house no.1, street no.37, sector f-6/1, islamabad."
all pakistan peoples qaumi movement,danish deedar,chairman,"98, muslim society, hyderabad ph no.0300-9373397"
all pakistan youth working party,saghir ahmad,chairman,"qaddar plaza, 1st floor office no.4, upp. ambala sweets, dinga road kharian call no. 0092-537-530557"
allah-o-akbar tehreek,"dr. mian ihsan bari,",adnaa khadim pakistan,"bari house, bari road, canal colony haroonabad, district bahawalnagar"
amm admi party,"arslan-ul-mulk,",chairman,"al-fateh house, grain market, ghakkar city, district gujranwala."
awami himayat tehreek pakistan,moulvi iqbal haider,chairman,"head office: ibadat plaza, blue area islamabad.ph: 051-2829308 fax: 051-2829238"
awami ittehad party,liaquat ali jatoi,chairman,banglow no.d/97 block 4 clifton karachi
awami jamhoori party (ajp).,karam hussain wasan,president,"blue sky extension building, giddu chwok, hyderabad."
awami jamhuri ittehad pakistan,mr. shahramkhantarakai,chairman,"tarakai house, teshil razar, district swabi, k.pk."
awami justice party,mehar ghulam mustafa mangan,president,"allama iqbal building 19-chamber, district court faislabad"
awami muslim league pakistan,sheikh rashid ahmed,president,"central secretariat, lal havely, rawalpindi. ph:051-559494"
awami national party,asfandyar wali khan,president,"baacha khan markaz, pajaggi road, peshawar. ph: 92-91-2246851-3, fax:92-91-2252406"
awami qiadat party,general (r) mirza aslam beg,chairman,"no.1, national park road, rawalpindi **** 88, race course road, st:3, rawalpindi. ph: 051- 5510761/5563309 fax:5564244"
awami tehreek bahali-e-soba bahawalpur pakistan,mr. nazir ahmed sonchi,convener,"cha boarwala, qaimpur,  post office khas, tehsil haselpur,  district bahawalpur"
awami warkers party,mr. abid hassan minto,president,"i/dstreet no.7, muhammad nagar, allama iqbal road, lahore conect nos. ph:042-36315162 cell no. 03008433173"
awami warkers party  ,&nbsp;,&nbsp;,&nbsp;
azad pakistan party,gul muhammad bhatti,president,"28-b wadila street, rajghar road, lahore. phone: 7351111 cell: 0300-9484449"
azmat-e-islam movement,zaheer-ul-islam abbasi (major general),ameer,"al-jihad trust building, block 52-b, satellite town, rawalpindi.051-4419982"
