halqa_id,name,political_party,
NA-1,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-1,Akram Khan,Independent,182
NA-1,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-1,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-1,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-1,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-1,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-1,Hidayatullah Khan Afridi Advocate,Independent,61
NA-1,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-1,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-1,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-1,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-1,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-1,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-1,Pir Abdur Rehman,Independent,265
NA-1,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-1,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-1,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-2,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-2,Akram Khan,Independent,182
NA-2,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-2,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-2,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-2,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-2,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-2,Hidayatullah Khan Afridi Advocate,Independent,61
NA-2,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-2,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-2,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-2,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-2,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-2,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-2,Pir Abdur Rehman,Independent,265
NA-2,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-2,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-2,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-3,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-3,Akram Khan,Independent,182
NA-3,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-3,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-3,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-3,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-3,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-3,Hidayatullah Khan Afridi Advocate,Independent,61
NA-3,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-3,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-3,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-3,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-3,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-3,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-3,Pir Abdur Rehman,Independent,265
NA-3,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-3,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-3,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-4,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-4,Akram Khan,Independent,182
NA-4,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-4,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-4,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-4,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-4,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-4,Hidayatullah Khan Afridi Advocate,Independent,61
NA-4,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-4,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-4,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-4,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-4,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-4,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-4,Pir Abdur Rehman,Independent,265
NA-4,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-4,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-4,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-5,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-5,Akram Khan,Independent,182
NA-5,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-5,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-5,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-5,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-5,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-5,Hidayatullah Khan Afridi Advocate,Independent,61
NA-5,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-5,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-5,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-5,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-5,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-5,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-5,Pir Abdur Rehman,Independent,265
NA-5,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-5,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-5,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-6,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-6,Akram Khan,Independent,182
NA-6,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-6,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-6,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-6,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-6,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-6,Hidayatullah Khan Afridi Advocate,Independent,61
NA-6,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-6,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-6,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-6,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-6,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-6,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-6,Pir Abdur Rehman,Independent,265
NA-6,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-6,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-6,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-7,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-7,Akram Khan,Independent,182
NA-7,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-7,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-7,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-7,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-7,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-7,Hidayatullah Khan Afridi Advocate,Independent,61
NA-7,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-7,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-7,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-7,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-7,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-7,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-7,Pir Abdur Rehman,Independent,265
NA-7,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-7,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-7,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-8,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-8,Akram Khan,Independent,182
NA-8,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-8,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-8,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
