halqa_id,name,political_party,votes_2013,,
PP-1,ARSLAN AYAZ,Independent,204,,
PP-1,ENGINEER MUHAMMAD ZAKIR,Muttahida Qaumi Movement Pakistan,125,,
PP-1,JAVED IQBAL SATTI,Pakistan Tehreek-e-Insaf,21435,,
PP-1,MUHAMMAD ILYAS,Independent,124,,
PP-1,MUHAMMAD ISHTIAQ ABBASI,MUTAHIDA DEENI MAHAZ,13579,,
PP-1,MUHAMMAD MUBARIK ABBASI,Independent,89,,
PP-1,MUHAMMAD MUNEEB SATTI,All Pakistan Muslim League,55,,
PP-1,NASIR ABBASI,Independent,30,,
PP-1,NAZEER AHMED ABBASI,Jamiat Ulama-e-Pakistan (Noorani),516,,
PP-1,RAJA ASHFAQ SARWAR,Pakistan Muslim League (N),50982,,
PP-1,RAJA KHURRAM ZAMAN,Independent,347,,
PP-1,RAJA SHEHZAD NEMAT SATTI,Independent,7926,,
PP-1,SAJJAD AHMED ABBASI,Jamaat-e-Islami Pakistan,6201,,
PP-1,SARDAR MUHAMMAD SALEEM KHAN,Pakistan Muslim League,23364,,
PP-1,SHAKEEL AHMED PAPA,Independent,6900,,
PP-2,IBRAR HUSSAIN ABBASI,Jamaat-e-Islami Pakistan,1760,,
PP-2,LIEUTENANT COL R MUHMMAD SHABBIR AWAN,Pakistan Peoples Party Parliamentarians,15868,,
PP-2,RAJA MOEED SHEHZAD,Independent,149,,
PP-2,Raja Muhammad Ali,Pakistan Muslim League (N),43335,,
PP-2,RAJA SAGHEER AHMED,Independent,38706,,
PP-2,RAJA TARIQ MEHMOOD,Jamiat Ulama-e-Islam (F),1047,,
PP-2,SHAKEEL HUSSAIN SATTI,Pakistan Patriotic Movement,106,,
PP-2,SHOAIB SADIQ KAYANI,Independent,38,,
PP-2,TANVEER HUSSAIN SHAH ADVOCATE,Independent,57,,
PP-2,TARIQ MEHMOOD MURTAZA,Pakistan Tehreek-e-Insaf,13233,,
PP-2,WASEEM AKTHAR RAJA,All Pakistan Muslim League,78,,
PP-3,ABDUL MAJEED,Jamiat Ulama-e-Islam (F),131,,
PP-3,AMEER QABAL HUSSAIN,Jamiat Ulama-e-Pakistan (Noorani),928,,
PP-3,CH JAVED KAUSAR ADVOCATE,Pakistan Tehreek-e-Insaf,29784,,
PP-3,CH KHAYAM ZAMAN,Tehreek-e-Tahafuze Pakistan,1516,,
PP-3,IFTIKHAR AHMED,Pakistan Muslim League (N),58916,,
PP-3,IMRAN QAMAR,Independent,97,,
PP-3,MIRZA MUHAMMAD BASHIR,Muttahida Qaumi Movement Pakistan,755,,
PP-3,MUHAMMAD IKRAAM,Independent,271,,
PP-3,RAJA ALTAF HUSSAIN,Independent,2590,,
