"PS-1","ABDUL JABBAR LAKHO","Independent","16"
"PS-1","ABDUL RAHEEM","Pakistan Muslim League (F)","2118"
"PS-1","ABDULLAH BROHI","Independent","176"
"PS-1","ABID HUSSAIN","Independent","4"
"PS-1","AGHA IFTIKHAR UDDIN","Independent","120"
"PS-1","AGHA SYED MUHAMMAD HAROON","Independent","22"
"PS-1","ALI BUX BHAMBRO","Majlis-e-Wahdat-e-Muslimeen Pakistan","2008"
"PS-1","ALI GOHAR SHAIKH","Independent","279"
"PS-1","ANUM SHAIKH","Independent","189"
"PS-1","ANWAR AHMED KHAN MAHAR","Pakistan Peoples Party Parliamentarians","18975"
"PS-1","ARIF KHAN","Independent","14"
"PS-1","ASGHAR ALI CHOHAN","Pakistan Peoples Party (Shaheed Bhutto)","121"
"PS-1","AZEEM ABBASI","Independent","53"
"PS-1","DR MUHAMMAD ANWAR PARACHA","Independent","12"
"PS-1","DR MUHAMMAD ARSHAD MUGHAL","Independent","3"
"PS-1","GHULAM GHOUS GHAZI","Jamaat-e-Islami Pakistan","619"
"PS-1","GHULAM SARWAR","Independent","1"
"PS-1","HAFIZ MUHAMMAD ZAMAN MDM","MUTAHIDA DEENI MAHAZ","3044"
"PS-1","IMAM ALI SHAH","Pakistan Tehreek-e-Insaf","4919"
"PS-1","KHALID MEHMOOD MAHAR","Independent","215"
"PS-1","LIAQAT ALI","Islami Tehreek Pakistan","52"
"PS-1","MAHBOOB ALI SAHTO","Independent","30"
"PS-1","MAJID","Independent","241"
"PS-1","MUHAMMAD AIJAZ MEMON","Independent","2"
"PS-1","MUHAMMAD AKBAR SANJRANI","Independent","98"
"PS-1","MUHAMMAD ANEES NASIR","Pakistan Muslim League","43"
"PS-1","MUHAMMAD AYUB FAROOQI","Independent","686"
"PS-1","MUHAMMAD EIDAN","Sindh Dost Ittehad","107"
"PS-1","MUHAMMAD IQBAL MEMON","Independent","19"
"PS-1","MUHAMMAD ISLAM MUGHAL","Independent","336"
"PS-1","MUHAMMAD SALEEM RAJPUT","Muttahida Qaumi Movement Pakistan","25399"
"PS-1","MUHAMMAD WASIF ROHAIL","Independent","11"
"PS-1","MUNEER AHMED BHUTTO","Independent","95"
"PS-1","MUSHRAF ALI KHAN","Jamiat Ulama-e-Pakistan (Noorani)","2181"
"PS-1","NAHEED AKHTER","Independent","77"
"PS-1","NAZEER AHMED","Independent","9"
"PS-1","RIAZ MUHAMMAD","Independent","20"
"PS-1","SAYED ESSA GUL ALIAS SANAM FAQEER","Independent","944"
"PS-1","SAYED UMAR MUSTAFA SHAH","Independent","25"
"PS-1","SHAHZAD KHURRAM","Pakistan Sunni Tehreek","7"
"PS-1","SHAM BABU","Independent","278"
"PS-1","SIKANDAR ALI CHOHAN","Independent","66"
"PS-1","SULTAN SHAH","Independent","230"
"PS-1","SYED NASEEM AHMED HASHMI","Independent","7"
"PS-1","SYED SIKANDER ALI SHAH","Independent","156"
"PS-1","WAHID BUX MAHESAR","Independent","7"
"PS-1","ZUBAIR UD DIN","Independent","16"
"PS-1","ZULFIQAR ALI JATOI","Independent","48"
"PS-2","Abdul Ghani Khoso","Jamiat Ulama-e-Islam (F)","1899"
"PS-2","Abdul Jabbar","Tehreek-e-Tahafuze Pakistan","151"
"PS-2","Abdul Muqeem Khoso","Independent","5"
"PS-2","Abdul Qadir Ghumro","Pakistan Muslim League (F)","619"
"PS-2","Abdul Waheed Shaikh","Independent","24"
"PS-2","Abid Hussain Jatoi","Independent","38"
"PS-2","Aftab Hussain Mirani","Majlis-e-Wahdat-e-Muslimeen Pakistan","1747"
"PS-2","Allah Dad","Independent","41"
"PS-2","Allah Rakkeyo","Independent","22"
"PS-2","Ameer Ali Jatoi","National Peoples Party","9117"
"PS-2","Atta Ullah Jatoi","Independent","414"
"PS-2","Deedar Ali Jatoi","Independent","1184"
"PS-2","Ghulam Ali Soomro","Independent","27"
"PS-2","Ghulam Murtaza Jiskani","Pakistan Tehreek-e-Insaf","2385"
"PS-2","Hamadullah Kalhoro","Independent","18"
"PS-2","IkramUllah Khan Dharejo","Independent","4"
"PS-2","Imdad Ali","Independent","13"
"PS-2","Iqbal Ahmed Khan Bijarani","Independent","3"
"PS-2","Irshad Ali","Independent","42"
"PS-2","Jam Saifullah Khan Dharejo","Independent","14"
"PS-2","Liaquat Ali","Independent","212"
"PS-2","Liaquat Ali Qureshi","Pakistan Muslim League","82"
"PS-2","Maqbool Ahmed","Independent","100"
"PS-2","Muhammad Akram","Jamaat-e-Islami Pakistan","555"
"PS-2","Muhammad Aslam Gadani","Independent","20"
"PS-2","Muhammad Salih Indher","Independent","4500"
"PS-2","Muhammad Shaban","Independent","86"
"PS-2","Mumtaz Ali Jogi","Independent","401"
"PS-2","Nadeem Qadir Bhutto","Independent","11"
"PS-2","Najamuddin Mirani","Independent","44"
"PS-2","Najeeullah Lakho","Independent","48"
"PS-2","Nisar Hyder","Independent","3"
"PS-2","Noor Ahmed","Pakistan Sunni Tehreek","63"
"PS-2","Noor Muhammad Soomro","Muttahida Qaumi Movement Pakistan","5485"
"PS-2","Pervaiz Ali Jatoi","Independent","7"
"PS-2","Rasheed Ahmed Shah","MUTAHIDA DEENI MAHAZ","2486"
"PS-2","Riaz Muhammad","Independent","29"
"PS-2","Sayed Nasir Hussain Shah","Pakistan Peoples Party Parliamentarians","35387"
"PS-2","Shafique Ahmed","Independent","18"
"PS-2","Shafqat Hussain","Independent","12"
"PS-2","Shahid Ali Soomro","Independent","106"
"PS-2","Shahid Hussain","Independent","28"
"PS-2","Shahid Hussain Soomro","Islami Tehreek Pakistan","14"
"PS-2","Sikandar Ali Chohan","Independent","1064"
"PS-2","Sohail Ahmed Lakho","Independent","56"
"PS-2","Sultan Shah","Independent","2087"
"PS-2","Syed Awais Qadir Shah","Independent","120"
"PS-2","Syed Imran Ali","Independent","65"
"PS-2","Syed Meer Yakoob Ali Shah","Independent","28"
"PS-2","Talib Hyder","Independent","8"
"PS-2","Wahid Bux","Independent","9"
"PS-2","Zulfiquar Ali Jatoi","Independent","12"
"PS-3","Abdul Razaque Kalwar","Awami Muslim League Pakistan","40"
"PS-3","Abid Hussain","Sindh Dost Ittehad","17"
"PS-3","Ahsan Ahmed","Muttahida Qaumi Movement Pakistan","700"
"PS-3","Ali Gohar Indhar","Jamiat Ulama-e-Islam (F)","15354"
"PS-3","Ali Gul Abbasi","Independent","658"
"PS-3","Ali Gul Khan Mahar","Independent","15"
"PS-3","Asadullah","Independent","18"
"PS-3","Ashique Ali Abbasi","Independent","117"
"PS-3","Badaruddin","Independent","1169"
"PS-3","Ghulam Ali Abbas @ (Papu Khan)","Independent","12492"
"PS-3","Ghulam Gohar Murtaza","Independent","209"
"PS-3","Ghulamullah Indhar","Independent","124"
"PS-3","Hoat Khan Mahar","Independent","38"
"PS-3","Ikramullah Khan Dharejo","Pakistan Peoples Party Parliamentarians","26348"
"PS-3","Imam Bux Meerani","Independent","4"
"PS-3","Imdad Ali Bullo","Independent","36"
"PS-3","Jam Asif Khan Dharejo","Independent","5"
"PS-3","Jam Saifullah Khan Dharejo","Independent","24"
"PS-3","Khalilluah","Jumiat Ulma-e-Islam(Nazryati)","50"
"PS-3","Mehboob Ali Sahito","Pakistan Sunni Tehreek","11"
"PS-3","Mohammad Siddique","Islami Tehreek Pakistan","22"
"PS-3","Mohammad Taqi Khan","Independent","940"
"PS-3","Mst Zahida Begum","Independent","3"
"PS-3","Mushtaque Ahmed Kalhoro","Independent","49"
"PS-3","Nek Mohammad","Pakistan Peoples Party (Shaheed Bhutto)","1301"
"PS-3","Nooruddin Chohan","Independent","7"
"PS-3","Omperkash","Independent","88"
"PS-3","Rabnawaz Kalwar","Pakistan Tehreek-e-Insaf","536"
"PS-3","Rafique Ahmed Soomro","Independent","130"
"PS-3","Saba Bhatti","Independent","3"
"PS-3","Shahnawaz Kalwar","Independent","17"
"PS-3","Sher Muhammad MDM","MUTAHIDA DEENI MAHAZ","766"
"PS-3","Sohail Ahmed Khan","Independent","11"
"PS-3","Syed Muhsin Hussain Shah","Independent","1092"
"PS-3","Syed Mukhtiar Ali Shah MWM","Majlis-e-Wahdat-e-Muslimeen Pakistan","762"
"PS-3","Wazeer Ahmed","Independent","906"
"PS-3","Zulfiqar Ali Jatoi","National Peoples Party","23"
"PS-4","Abdul Kareem","Independent","4"
"PS-4","Abdul Razaque","Independent","24"
"PS-4","Abdul Sattar Shambani MDM","MUTAHIDA DEENI MAHAZ","237"
"PS-4","Asghar Ali Chohan","Pakistan Peoples Party (Shaheed Bhutto)","118"
"PS-4","Atif Raza Shah","Independent","112"
"PS-4","Ghulam Mustafa","Jamiat Ulama-e-Islam (F)","59"
